uid,gene_id,direction,padj,log2FoldChange,source
BM_141,ENSG00000112769,down,2.8631876161403e-36,-3.17392346017494,tnbc140226
BM_142,ENSG00000128567,down,3.39912360598014e-35,-3.29720013453927,tnbc140226
BM_143,ENSG00000149591,down,5.80534173560727e-31,-3.56897978618641,tnbc140226
BM_144,ENSG00000166025,down,1.6891618873341899e-28,-2.85391649009291,tnbc140226
BM_145,ENSG00000131203,down,3.4705465410119896e-28,-2.71099101976331,tnbc140226
BM_146,ENSG00000144810,down,4.17303948827329e-28,-4.04756450274373,tnbc140226
BM_147,ENSG00000104419,down,3.98952116244091e-26,-3.21190594883098,tnbc140226
BM_148,ENSG00000197632,down,1.3144831902648902e-25,-6.12605670085371,tnbc140226
BM_149,ENSG00000180818,down,2.24089364813977e-25,-2.53160717965349,tnbc140226
BM_150,ENSG00000108602,down,2.3873232377558103e-25,-2.13858937351129,tnbc140226
BM_151,ENSG00000001617,down,2.60995497297153e-24,-1.68539719548121,tnbc140226
BM_152,ENSG00000184515,down,4.42038920504231e-22,-5.27724489203265,tnbc140226
BM_153,ENSG00000139329,down,3.61260567731422e-21,-2.17028715999313,tnbc140226
BM_154,ENSG00000114251,down,1.0567676177736501e-19,-4.23650599967993,tnbc140226
BM_155,ENSG00000166033,down,1.3968752539303602e-19,-2.97718699632113,tnbc140226
BM_156,ENSG00000183486,down,2.42373793092422e-19,-11.5866316363518,tnbc140226
BM_157,ENSG00000179046,down,4.51219918722042e-18,-3.4067112265208,tnbc140226
BM_158,ENSG00000185339,down,3.80615405316707e-17,-3.52434525571979,tnbc140226
BM_159,ENSG00000173198,down,4.01923464684262e-17,-2.5335362092344,tnbc140226
BM_160,ENSG00000154096,down,7.593724442286061e-17,-1.28060703606896,tnbc140226
BM_161,ENSG00000137959,down,1.0479691818119e-16,-2.94119593359315,tnbc140226
BM_162,ENSG00000147408,down,8.42901245562658e-16,-10.4766003957189,tnbc140226
BM_163,ENSG00000196511,down,3.2073218144764e-15,-1.94227771610195,tnbc140226
BM_164,ENSG00000162194,down,5.588713830699261e-15,-2.51343130945105,tnbc140226
BM_165,ENSG00000263873,down,5.588713830699261e-15,-1.74009832664452,tnbc140226
BM_166,ENSG00000078098,down,2.52347504322783e-14,-10.0791963347949,tnbc140226
BM_167,ENSG00000111371,down,3.07241132236794e-14,-1.42404107719155,tnbc140226
BM_168,ENSG00000152580,down,3.15174841784968e-14,-4.03027730094646,tnbc140226
BM_169,ENSG00000001561,down,1.32740046195444e-13,-1.77721765471591,tnbc140226
BM_170,ENSG00000137868,down,1.9933884702364099e-13,-3.98823608074539,tnbc140226
BM_171,ENSG00000164176,down,2.58592526182242e-13,-5.35950194546762,tnbc140226
BM_172,ENSG00000154678,down,2.58592526182242e-13,-7.05044419080707,tnbc140226
BM_173,ENSG00000135919,down,4.68041879831022e-13,-2.10263262890581,tnbc140226
BM_174,ENSG00000171234,down,5.6979656859341796e-12,-7.99401332752547,tnbc140226
BM_175,ENSG00000049247,down,6.80669795341017e-12,-4.24520358811743,tnbc140226
BM_176,ENSG00000136231,down,7.49893067818516e-12,-2.27202772749957,tnbc140226
BM_177,ENSG00000158445,down,1.09471608291873e-11,-2.82007075442049,tnbc140226
BM_178,ENSG00000173546,down,1.10434087257421e-11,-1.12380323028212,tnbc140226
BM_179,ENSG00000102678,down,1.5000057828536097e-11,-1.83993935645196,tnbc140226
BM_180,ENSG00000151790,down,2.07108701502491e-11,-2.29506147932375,tnbc140226
BM_181,ENSG00000011465,down,2.10668895407873e-11,-3.26291234119759,tnbc140226
BM_182,ENSG00000162458,down,2.7463686639829897e-11,-1.48508427165238,tnbc140226
BM_183,ENSG00000115902,down,4.37587179185181e-11,-1.73026096344458,tnbc140226
BM_184,ENSG00000113319,down,4.59609780524727e-11,-9.0694923746019,tnbc140226
BM_185,ENSG00000099204,down,4.9961851298578394e-11,-1.32999201339274,tnbc140226
BM_186,ENSG00000203727,down,7.959803276012439e-11,-2.58705473232397,tnbc140226
BM_187,ENSG00000122378,down,9.650665480034729e-11,-5.3711719873594,tnbc140226
BM_188,ENSG00000176463,down,1.35477309636051e-10,-1.0266730991548,tnbc140226
BM_189,ENSG00000075461,down,1.40673300030587e-10,-1.10950812916534,tnbc140226
BM_190,ENSG00000168952,down,1.42041407199469e-10,-3.4060916430191,tnbc140226
BM_191,ENSG00000131149,down,2.58980837591122e-10,-1.02719963338172,tnbc140226
BM_192,ENSG00000132639,down,4.70563474680262e-10,-2.72154588955437,tnbc140226
BM_193,ENSG00000259803,down,7.93035787078922e-10,-2.28391426236059,tnbc140226
BM_194,ENSG00000166265,down,7.93035787078922e-10,-8.52954361536216,tnbc140226
BM_195,ENSG00000117115,down,9.92365198458482e-10,-1.54555804382264,tnbc140226
BM_196,ENSG00000071575,down,1.01301937711368e-09,-1.87392799496334,tnbc140226
BM_197,ENSG00000120594,down,1.02116344192988e-09,-8.45282843538163,tnbc140226
BM_198,ENSG00000151388,down,1.07795358507698e-09,-7.31049684004155,tnbc140226
BM_199,ENSG00000171033,down,1.1088567848982902e-09,-8.43638051096422,tnbc140226
BM_200,ENSG00000084636,down,1.58751173784133e-09,-1.92475122523623,tnbc140226
BM_201,ENSG00000157680,down,2.2326750561575203e-09,-1.85068733730596,tnbc140226
BM_202,ENSG00000143126,down,2.8342472238558402e-09,-1.00811665154507,tnbc140226
BM_203,ENSG00000129009,down,2.97970519939544e-09,-3.84933226223847,tnbc140226
